CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RPM_Sum,Cluster,Segment
12346.0,326,1,77183.6,1,1,5,7,2,at risk
12347.0,2,182,4310.0,5,5,5,15,0,vip
12348.0,75,31,1797.24,2,3,4,9,0,vip
12349.0,19,73,1757.55,4,4,4,12,0,vip
12350.0,310,17,334.4,1,2,2,5,2,at risk
12352.0,36,85,2506.04,3,4,5,12,0,vip
12353.0,204,4,89.0,1,1,1,3,2,at risk
12354.0,232,58,1079.4,1,3,4,8,2,at risk
12355.0,214,13,459.4,1,1,2,4,2,at risk
12356.0,23,59,2811.43,4,4,5,13,0,vip
12357.0,33,131,6207.67,4,5,5,14,0,vip
12358.0,2,19,1168.06,5,2,4,11,0,vip
12359.0,58,248,6372.58,3,5,5,13,0,vip
12360.0,52,129,2662.06,3,5,5,13,0,vip
12361.0,287,10,189.9,1,1,1,3,2,at risk
12362.0,3,266,5226.23,5,5,5,15,0,vip
12363.0,110,23,552.0,2,2,3,7,0,vip
12364.0,8,85,1313.1,5,4,4,13,0,vip
12365.0,291,22,641.38,1,2,3,6,2,at risk
12367.0,4,11,168.9,5,1,1,7,0,vip
12370.0,51,167,3545.69,3,5,5,13,0,vip
12371.0,45,63,1887.96,3,4,4,11,0,vip
12372.0,72,52,1298.04,3,3,4,10,0,vip
12373.0,311,14,364.6,1,1,2,4,2,at risk
12374.0,25,33,742.9300000000001,4,3,3,10,0,vip
12375.0,11,17,457.5,5,2,2,9,0,vip
12377.0,315,77,1628.12,1,4,4,9,2,at risk
12378.0,130,219,4008.62,2,5,5,12,0,vip
12379.0,82,40,852.24,2,3,3,8,0,vip
12380.0,22,104,2724.81,4,4,5,13,0,vip
12381.0,5,87,1845.31,5,4,4,13,0,vip
12383.0,185,99,1850.56,1,4,4,9,2,at risk
12384.0,29,27,585.27,4,2,3,9,0,vip
12386.0,338,10,401.9,1,1,2,4,2,at risk
12388.0,16,100,2780.66,4,4,5,13,0,vip
12390.0,80,32,549.84,2,3,3,8,0,vip
12391.0,22,100,460.89,4,4,2,10,0,vip
12393.0,72,64,1582.6,3,4,4,11,0,vip
12394.0,64,27,1272.48,3,2,4,9,0,vip
12395.0,19,156,3018.63,4,5,5,14,0,vip
12397.0,36,126,2409.9,3,5,5,13,0,vip
12398.0,46,85,1635.66,3,4,4,11,0,vip
12399.0,119,59,1108.65,2,4,4,10,0,vip
12401.0,303,5,84.3,1,1,1,3,2,at risk
12402.0,323,11,225.6,1,1,1,3,2,at risk
12403.0,50,5,427.7,3,1,2,6,0,vip
12405.0,149,54,1710.39,2,3,4,9,2,at risk
12406.0,22,105,3415.3,4,4,5,13,0,vip
12407.0,50,77,1708.12,3,4,4,11,0,vip
12408.0,33,105,2888.55,4,4,5,13,0,vip
12409.0,79,109,11072.67,2,4,5,11,0,vip
12410.0,309,26,693.3299999999999,1,2,3,6,2,at risk
12412.0,75,61,1226.88,2,4,4,10,0,vip
12413.0,67,38,758.1,3,3,3,9,0,vip
12414.0,217,18,562.41,1,2,3,6,2,at risk
12415.0,24,714,124914.53,4,5,5,14,3,newbies
12417.0,3,192,3649.1,5,5,5,15,0,vip
12418.0,113,34,668.58,2,3,3,8,0,vip
12420.0,64,29,600.39,3,2,3,8,0,vip
12421.0,16,45,807.04,4,3,3,10,0,vip
12422.0,96,39,803.5600000000001,2,3,3,8,0,vip
12423.0,1,125,1859.31,5,5,4,14,0,vip
12424.0,163,30,1760.96,2,3,4,9,2,at risk
12425.0,78,36,777.2,2,3,3,8,0,vip
12426.0,195,30,582.73,1,3,3,7,2,at risk
12427.0,22,31,825.8,4,3,3,10,0,vip
12428.0,26,294,7956.46,4,5,5,14,0,vip
12429.0,9,97,3750.4,5,4,5,14,0,vip
12430.0,43,11,256.4,3,1,2,6,0,vip
12431.0,36,235,6487.45,3,5,5,13,0,vip
